name, link, rating, votes, year, releaseDate, genres, runtime, plot, image, imageCaption, metascore, certificate, status, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Lee Cronin's The Mummy", "https://www.imdb.com/title/tt32612507/", "6.2", "37280", "2026", "17/4/2026", "Horror", "8040", "The young daughter of a journalist disappears into the desert without a trace. Eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.", "https://m.media-amazon.com/images/M/MV5BNWQ1NzI2YTUtN2E0ZS00YzVmLTkxNjktMWIzNTYwMzkyOTU0XkEyXkFqcGc@._V1_.jpg", "Natalie Grace in Lee Cronin's The Mummy (2026)", "47", "R", "Released", "showbiz drama", "US", "19", "UP 23144", "Lance Oppenheim", "", "Robert Pattinson, Anna Faris, Bokeem Woodbine", "Robert Pattinson, Anna Faris, Bokeem Woodbine, Jonathan Lipnicki", "", "", "", "", "New Orleans, Louisiana, USA", "", "", "", "", "0", "0", "Movie", "False", "False", "False"
"Seven Snipers", "https://www.imdb.com/title/tt36926359/", "4.6", "552", "2026", "5/6/2026", "Action, Thriller", "5220", "A retired sniper in hiding on an Australian ranch must reunite her elite kill squad when a vengeful warlord threatens her daughter.", "https://m.media-amazon.com/images/M/MV5BY2NkYzVkNDUtODQwZC00MGY1LTk2NzgtYTJmNmEwMDI5ZDFmXkEyXkFqcGc@._V1_.jpg", "Tim Roth, Ioan Gruffudd, Radha Mitchell, Bianca Wallace, and Annabel Wolfe in Seven Snipers (2026)", "", "R", "Released", "", "AU", "31", "UP 1775", "Sandra Sciberras", "", "Radha Mitchell, Charles Cottier, Ioan Gruffudd", "Radha Mitchell, Charles Cottier, Ioan Gruffudd, Lee Tiger Halley", "USD 20,000,000", "", "", "USD 59,697", "Ipswich, Queensland, Australia", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Over Your Dead Body", "https://www.imdb.com/title/tt34685692/", "6.4", "9803", "2026", "24/4/2026", "Action, Comedy, Thriller", "6300", "A dysfunctional married couple retreats to a secluded cabin to repair their relationship, but each secretly plots to murder the other.", "https://m.media-amazon.com/images/M/MV5BMWU2M2YyNTMtZGM4ZC00MDcwLWI3NmItZWM0YjIyOTEyNDZhXkEyXkFqcGc@._V1_.jpg", "Juliette Lewis, Timothy Olyphant, Jason Segel, Keith Jardine, and Samara Weaving in Over Your Dead Body (2026)", "52", "R", "Released", "post apocalypse, based on video game, space sci fi, psychological horror, body horror", "US", "18", "UP 279", "Mark Fischbach", "Mark Fischbach, David Szymanski", "Mark Fischbach, Caroline Kaplan, Troy Baker", "Mark Fischbach, Caroline Kaplan, Troy Baker, Elsie Lovelock", "USD 3,000,000", "USD 17,800,000", "USD 40,851,941", "USD 50,036,487", "Austin, Texas, USA", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Scream 7", "https://www.imdb.com/title/tt27047903/", "5.5", "55551", "2026", "27/2/2026", "Horror, Mystery, Thriller", "6840", "When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target.", "https://m.media-amazon.com/images/M/MV5BMzk2YzRjYmItNTA5Mi00ODczLTljYzUtOWE1ZDFkODhlZWJlXkEyXkFqcGc@._V1_.jpg", "Neve Campbell, Courteney Cox, Mark Consuelos, Ethan Embry, Joel McHale, Asa Germann, Sam Rechner, Anna Camp, Mason Gooding, Timothy Simons, Mckenna Grace, Jasmin Savoy Brown, Isabel May, and Celeste O'Connor in Scream 7 (2026)", "35", "R", "Released", "escape", "GB", "40", "DOWN 18", "Guy Ritchie", "", "Henry Cavill, Jake Gyllenhaal, Eiza González", "Henry Cavill, Jake Gyllenhaal, Eiza González, Carlos Bardem", "", "USD 2,926,879", "USD 5,688,954", "USD 13,478,954", "Tenerife, Canary Islands, Spain", "English", "", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The End of Oak Street", "https://www.imdb.com/title/tt27165187/", "0", "0", "2026", "14/8/2026", "Action, Adventure, Mystery", "6600", "The Platt family bands together to navigate their new surroundings after a cosmic event transports their suburban neighborhood to someplace unknown.", "https://m.media-amazon.com/images/M/MV5BZGI0YmRjNWYtYTliYy00YzdjLTkzNzQtZWExNjA2ZDU5MzAwXkEyXkFqcGc@._V1_.jpg", "The End of Oak Street (2026)", "", "", "Completed", "80s, dinosaur, dinosaur adventure, survival adventure", "US", "35", "UP 354", "David Robert Mitchell", "", "Anne Hathaway, Ewan McGregor, P.J. Byrne", "Anne Hathaway, Ewan McGregor, P.J. Byrne, Christian Convery", "USD 85,000,000", "", "", "", "Atlanta, Georgia, USA", "English", "Dolby Digital, Dolby Atmos, IMAX 6-Track", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Marked Woman", "https://www.imdb.com/title/tt32129938/", "5.5", "559", "2026", "5/6/2026", "Crime, Drama, Mystery", "6540", "Unconscious woman found in Barcelona docks container. With no memory, an attempt on her life at hospital. Inspectors Ripoll and Zapori investigate the mysterious case.", "https://m.media-amazon.com/images/M/MV5BMmVkYmE0YTktNGQxZS00MjQ1LTgzZjUtNmQyNWU3ZDY1MmFlXkEyXkFqcGc@._V1_.jpg", "The Marked Woman (2026)", "", "TV-MA", "Released", "case, criminal, victim, murder, investigation", "ES", "38", "UP 3660", "Gabe Ibáñez", "Rosa Montero, Lara Sendim, Olivier Truc", "Candela Peña, Kira Miró, Ana Rujas", "Candela Peña, Kira Miró, Ana Rujas, Manolo Solo", "", "", "", "", "Barcelona, Catalonia, Spain", "Spanish", "Dolby Digital", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"How to Rob a Bank", "https://www.imdb.com/title/tt35866986/", "0", "0", "2026", "4/9/2026", "Action, Crime, Thriller", "", "Bank robbers are posting their heists on social media, causing police to chase them.", "https://m.media-amazon.com/images/M/MV5BODY5YWIzZTAtMzA5OC00MDgwLTgxZjQtZGIwZTg2YTk3YWE1XkEyXkFqcGc@._V1_.jpg", "Pete Davidson, Nicholas Hoult, Anna Sawai, and Rhenzy Feliz in How to Rob a Bank (2026)", "", "R", "Completed", "heist crime", "US", "40", "UP 2856", "David Leitch", "", "Nicholas Hoult, Tati Gabrielle, John C. Reilly", "Nicholas Hoult, Tati Gabrielle, John C. Reilly, Christian Slater", "", "", "", "", "", "English", "Dolby Atmos", "1.85 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Drama", "https://www.imdb.com/title/tt33071426/", "7.2", "71303", "2026", "3/4/2026", "Comedy, Drama, Romance", "6300", "A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.", "https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_.jpg", "Robert Pattinson and Zendaya in The Drama (2026)", "59", "R", "Released", "supernatural horror, psychological horror, folk horror, witch horror, novel writer", "IE", "30", "DOWN 5", "Damian McCarthy", "", "Adam Scott, Peter Coonan, David Wilmot", "Adam Scott, Peter Coonan, David Wilmot, Austin Amelio", "", "USD 6,428,305", "USD 16,834,886", "USD 23,585,712", "Skibbereen, Co. Cork, Ireland", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Dhurandhar: The Revenge", "https://www.imdb.com/title/tt39139925/", "8.3", "58936", "2026", "19/3/2026", "Action, Crime, Thriller", "14100", "Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title "Sher-e-Baloch" while balancing loyalty, betrayal, and survival in a ruthless underworld.", "https://m.media-amazon.com/images/M/MV5BNzdkNjAxNWMtNWY3My00NTI1LTg2YWQtOGI3MDA0NzdhMjEyXkEyXkFqcGc@._V1_.jpg", "Dhurandhar: The Revenge (2026)", "", "TV-MA", "Released", "showbiz drama", "US", "19", "UP 23144", "Lance Oppenheim", "", "Robert Pattinson, Anna Faris, Bokeem Woodbine", "Robert Pattinson, Anna Faris, Bokeem Woodbine, Jonathan Lipnicki", "", "", "", "", "New Orleans, Louisiana, USA", "", "", "", "", "0", "0", "Movie", "False", "False", "False"
"The Bride!", "https://www.imdb.com/title/tt30851137/", "5.7", "30308", "2026", "6/3/2026", "Drama, Horror, Romance", "7560", "In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.", "https://m.media-amazon.com/images/M/MV5BM2VmMDVlNzgtNThhZC00ZGMwLTg4MmEtZTUzNmRiYTkxYzUyXkEyXkFqcGc@._V1_.jpg", "Christian Bale and Jessie Buckley in The Bride! (2026)", "55", "R", "Released", "suspense mystery, suspense thriller, rural thriller, heist crime", "IN", "28", "UP 3018", "", "Alfred Prakash, Vignesh Raja, Gopal Ram", "Dhanush, Mamitha Baiju, K.S. Ravikumar", "Dhanush, Mamitha Baiju, K.S. Ravikumar, Karunas", "", "", "USD 121,956", "USD 336,535", "", "Tamil, Telugu, Kannada, Malayalam, Hindi", "Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Shelter", "https://www.imdb.com/title/tt32357218/", "6.1", "32402", "2026", "30/1/2026", "Action, Thriller", "6420", "A reclusive former government assassin finds his forced isolation shattered when a stranded supply girl triggers a lethal tracking system, forcing him to defend her against his old handler's relentless execution squads.", "https://m.media-amazon.com/images/M/MV5BMzI2ODY3MzQtYzllNy00YWM1LWExZTgtOGIwNjk2MmE2MmY2XkEyXkFqcGc@._V1_.jpg", "Jason Statham and Bodhi Rae Breathnach in Shelter (2026)", "50", "R", "Released", "airplane crash, female rage, island, castaway, stranded on an island", "US", "23", "DOWN 5", "Sam Raimi", "Damian Shannon, Mark Swift", "Rachel McAdams, Dylan O'Brien, Edyll Ismail", "Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert", "USD 40,000,000", "USD 19,102,299", "USD 64,734,795", "USD 94,041,481", "Thailand", "English", "IMAX 6-Track, 12-Track Digital Sound, Dolby Atmos, DTS:X, SDDS", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Spider-Man: Brand New Day", "https://www.imdb.com/title/tt22084616/", "0", "0", "2026", "31/7/2026", "Action, Adventure, Fantasy", "", "A forgotten Peter Parker lives alone as a full-time Spider-Man until mounting pressure triggers a dangerous change and a powerful new enemy emerges.", "https://m.media-amazon.com/images/M/MV5BOWNjYWM3NWItOGE0ZS00MWRjLThiZWEtYjc4ZmNmMmU5ZTVmXkEyXkFqcGc@._V1_.jpg", "Zendaya and Tom Holland in Spider-Man: Brand New Day (2026)", "", "PG-13", "Completed", "los angeles california, diamond, heist, male underwear, downtown los angeles", "GB", "60", "DOWN 12", "Bart Layton", "Bart Layton, Don Winslow", "Chris Hemsworth, Mark Ruffalo, Barry Keoghan", "Chris Hemsworth, Mark Ruffalo, Barry Keoghan, Peter Banifaz", "USD 90,000,000", "USD 14,251,834", "USD 36,588,336", "USD 72,900,246", "Echo Park, Los Angeles, California, USA", "English", "DTS:X, Dolby Surround 5.1, Dolby Digital, SDDS, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Is God Is", "https://www.imdb.com/title/tt34379307/", "6.8", "2629", "2026", "15/5/2026", "Drama, Mystery, Thriller", "6000", "Two sisters embark on an epic quest for revenge: confronting a charged family history that will push them to extraordinary lengths.", "https://m.media-amazon.com/images/M/MV5BMmI0ODU5MjUtYWY1OC00ZTNmLWE0ZDAtZTdkOTZhNzI4ZDllXkEyXkFqcGc@._V1_.jpg", "Mallori Johnson and Kara Young in Is God Is (2026)", "84", "R", "Released", "alliterative title, revenge, sister sister relationship, title directed by female, black woman", "US", "49", "UP 97", "Aleshea Harris", "", "Kara Young, Mallori Johnson, Vivica A. Fox", "Kara Young, Mallori Johnson, Vivica A. Fox, Sterling K. Brown", "", "USD 2,215,153", "USD 4,901,604", "USD 4,901,604", "", "English", "", "2.39 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"The Amazing Digital Circus: The Last Act", "https://www.imdb.com/title/tt41635245/", "7.9", "2092", "2026", "4/6/2026", "Animation, Adventure, Comedy", "5700", "Feature length version of the final two episodes (episode 8 and 9) of The Amazing Digital Circus, showing the conclusion of the cast of characters trapped in a digital realm under the mercy of an unstable ringmaster.", "https://m.media-amazon.com/images/M/MV5BODQ0NzQ2YTYtZDc2NS00YTlmLThjNmYtMWRkN2VkNzI4NWNhXkEyXkFqcGc@._V1_.jpg", "The Amazing Digital Circus: The Last Act (2026)", "", "Not Rated", "Released", "psychological thriller, for grown ups animation, cg animation, indie animation, chess piece", "US", "52", "UP 898", "Gooseworx", "", "Lizzie Freeman, Michael Kovach, Amanda Hufford", "Lizzie Freeman, Michael Kovach, Amanda Hufford, Marissa Lenti", "", "USD 11,580,000", "USD 19,470,000", "USD 19,470,000", "", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"GOAT", "https://www.imdb.com/title/tt27613895/", "6.7", "24059", "2026", "13/2/2026", "Animation, Adventure, Comedy", "6000", "A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.", "https://m.media-amazon.com/images/M/MV5BYzE5OTJkOGMtYWFiNi00NTlkLWE3ZWItY2ZlNjkyOWVhMjMyXkEyXkFqcGc@._V1_.jpg", "Wayne Knight, Gabrielle Union, David Harbour, Rayaan Kamal Khan, Savannah Van Van McConneaughey, Nick Kroll, Angelo Kouyate, Cassius Peyton, Kingston Peyton, Nicola Coughlan, Stephen Curry, Caleb McLaughlin, and Aaron Pierre in GOAT (2026)", "60", "PG", "Released", "", "US", "33", "UP 79", "Eric Appel", "Nate Bargatze, Dan Lagana", "Nate Bargatze, Mandy Moore, Colin Jost", "Nate Bargatze, Mandy Moore, Colin Jost, Zach Cherry", "", "USD 7,353,073", "USD 7,353,073", "USD 7,353,073", "Atlanta, Georgia, USA", "English", "", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Super Mario Galaxy Movie", "https://www.imdb.com/title/tt28650488/", "6.3", "57953", "2026", "1/4/2026", "Animation, Adventure, Comedy", "5880", "Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.", "https://m.media-amazon.com/images/M/MV5BMGIzMGI4OWYtNzdkMy00MjJlLWJiMDMtZjY1Y2UwMzQ0YzY3XkEyXkFqcGc@._V1_.jpg", "Jack Black, Charlie Day, Luis Guzmán, Brie Larson, Chris Pratt, Keegan-Michael Key, Benny Safdie, Virginia Dare Jelenic, Donald Glover, and Anya Taylor-Joy in The Super Mario Galaxy Movie (2026)", "37", "PG", "Released", "", "US", "45", "UP 659", "John Travolta", "", "Clark Shotwell, Kelly B. Eviston, Ellen Travolta", "Clark Shotwell, Kelly B. Eviston, Ellen Travolta, Jimmy Marino", "", "", "", "", "TWA Hotel, John F. Kennedy International Airport, New York City, New York, USA", "", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"The Death of Robin Hood", "https://www.imdb.com/title/tt32273171/", "7.9", "111", "2026", "19/6/2026", "Action, Adventure, Drama", "7380", "Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.", "https://m.media-amazon.com/images/M/MV5BYTRmNzlmZjEtYjkzMC00MmNjLThiOGYtZjM5MjFiZDQyM2IwXkEyXkFqcGc@._V1_.jpg", "Hugh Jackman in The Death of Robin Hood (2026)", "", "R", "Released", "robin hood character", "US", "58", "UP 27", "Michael Sarnoski", "", "Hugh Jackman, Jodie Comer, Bill Skarsgård", "Hugh Jackman, Jodie Comer, Bill Skarsgård, Jade Croot", "", "", "", "", "Northern Ireland, UK", "English", "Dolby Surround 7.1, Dolby Surround 5.1, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Wuthering Heights", "https://www.imdb.com/title/tt32897959/", "6.1", "78640", "2026", "13/2/2026", "Drama, Romance", "8160", "A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.", "https://m.media-amazon.com/images/M/MV5BNjNkNmNhOWUtZTFmOC00YmQ4LWEzYWQtZjdlMGU0MGRkN2YzXkEyXkFqcGc@._V1_.jpg", "Margot Robbie and Jacob Elordi in Wuthering Heights (2026)", "55", "R", "Released", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "0", "0", "", "False", "False", "False"
"Colony", "https://www.imdb.com/title/tt34385135/", "6.9", "1731", "2026", "21/5/2026", "Action, Adventure, Crime", "7320", "Professor Se Jeong attends a biotech conference, only to witness it spiral into catastrophe when a rapidly mutating virus is unleashed. As the outbreak spreads and the infected begin to transform, authorities seal off the entire facility.", "https://m.media-amazon.com/images/M/MV5BMDgwNzhmMjItMDhlYi00ODdlLWI1NjUtZDgxZGMzMGU5MmM4XkEyXkFqcGc@._V1_.jpg", "Jun Ji-hyun, Kim Shin-rock, Go Soo, Koo Kyo-hwan, Ji Chang-wook, and Shin Hyeon-bin in Colony (2026)", "56", "R", "Released", "shared universe, spider man character, 3d, 3 dimensional, supervillain", "US", "51", "DOWN 2", "Destin Daniel Cretton", "Chris McKenna, Erik Sommers, Stan Lee", "Tom Holland, Zendaya, Sadie Sink", "Tom Holland, Zendaya, Sadie Sink, Jacob Batalon", "", "", "", "", "Glasgow, Scotland, UK", "English", "IMAX 6-Track, Dolby Atmos, Dolby Digital, Dolby Surround 7.1", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Breadwinner", "https://www.imdb.com/title/tt34459219/", "6.3", "1309", "2026", "29/5/2026", "Comedy, Family", "5940", "When a supermom lands a Shark Tank deal, she switches roles with her breadwinner husband, who struggles to adapt as a stay-at-home dad to their three daughters.", "https://m.media-amazon.com/images/M/MV5BZTQ3ZWQ4YTctMTI0OC00NmI5LWFlNjgtNjhhMDQxYjUxYTQyXkEyXkFqcGc@._V1_.jpg", "Mandy Moore, Birdie Borria, Stella Grace Fitzgerald, Charlotte Ann Tucker, and Nate Bargatze in The Breadwinner (2026)", "33", "PG", "Released", "bench trial, archive footage, drug use, cigarette smoking, smoking drugs", "GB", "36", "DOWN 15", "Gareth Johnson", "", "Mackenzie Shirilla, Dominic Russo, Davion Flanagan", "Mackenzie Shirilla, Dominic Russo, Davion Flanagan, Rosie Graham", "", "", "", "", "", "English", "", "", "", "0", "0", "Movie", "False", "False", "False"
"Peddi", "https://www.imdb.com/title/tt23865918/", "6.2", "4962", "2026", "4/6/2026", "Action, Drama, Romance", "10920", "In 1980s rural Andhra Pradesh, A spirited villager unites his community through sports to defend their pride against a powerful rival.", "https://m.media-amazon.com/images/M/MV5BYjQxNWVmODUtNjY3NC00ODE2LWFhNTItZGY2YzlmYTgzYzJkXkEyXkFqcGc@._V1_.jpg", "Peddi (2026)", "", "", "Released", "period drama, wrestling, underdog sport, coming of age drama", "IN", "63", "UP 310", "Buchi Babu Sana", "", "Ram Charan, Janhvi Kapoor, Shivarajkumar", "Ram Charan, Janhvi Kapoor, Shivarajkumar, Divyendu Sharma", "", "", "", "", "", "Telugu, Tamil", "Dolby Atmos, Dolby Digital, IMAX 5.0, Dolby Surround 7.1, Dolby Surround 5.1", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Kara", "https://www.imdb.com/title/tt37458112/", "7", "4552", "2026", "30/4/2026", "Action, Crime, Drama", "9540", "In 1991 Ramanathapuram during the Gulf War, Karasamy faces his abandoned past while protecting those who depend on him. An action thriller about a man torn between sin and virtue, fighting to save his family against all odds.", "https://m.media-amazon.com/images/M/MV5BNDUzOGQyNTEtZDlhOC00OTRlLThiNzMtMWI5NDliYWVhMTllXkEyXkFqcGc@._V1_.jpg", "Kara (2026)", "", "", "Released", "dark comedy, man performs oral sex on a woman, reference to heroin, wedding plans, diet coke", "US", "29", "FLAT 0", "Kristoffer Borgli", "", "Zendaya, Robert Pattinson, Alana Haim", "Zendaya, Robert Pattinson, Alana Haim, Mamoudou Athie", "USD 28,000,000", "USD 14,380,197", "USD 48,062,006", "USD 125,898,266", "Boston, Massachusetts, USA", "English", "Dolby Digital, Dolby Atmos", "1.85 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"Swapped", "https://www.imdb.com/title/tt29552248/", "7.3", "17517", "2026", "1/5/2026", "Animation, Adventure, Comedy", "5880", "A tiny woodland creature and a majestic bird suddenly swap bodies, forcing them to team up to survive the wildest adventure of their lives.", "https://m.media-amazon.com/images/M/MV5BNWFlNWM2Y2YtY2VhOC00MWFiLWExNWYtYWViYzJhMDQyMTJiXkEyXkFqcGc@._V1_.jpg", "Michael B. Jordan and Juno Temple in Swapped (2026)", "56", "PG", "Released", "rain, erection, snow, public hanging, pale", "GB", "46", "DOWN 14", "Emerald Fennell", "Emily Brontë, Emerald Fennell", "Margot Robbie, Jacob Elordi, Hong Chau", "Margot Robbie, Jacob Elordi, Hong Chau, Shazad Latif", "USD 80,000,000", "USD 32,801,647", "USD 84,001,072", "USD 241,601,072", "Barnsley, South Yorkshire, England, UK", "English", "Dolby Digital, SDDS, Dolby Surround 7.1, DTS:X, 12-Track Digital Sound, Dolby Atmos, IMAX 6-Track, Datasat", "1.85 : 1", "Color", "0", "6", "Movie", "False", "False", "False"
